Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Familiar zone ,Arena : time (s),Familiar zone : entries,Familiar zone : time (s),Familiar zone : was 1st zone,Novel zone : entries,Novel zone : time (s),Novel zone : was 1st zone,Blank zone : entries,Blank zone : time (s),Blank zone : was 1st zone
1,F-01BR,F SAL EE,A,NOR habituation,1,Top OF,Front,600.0,52,44.7,No,37,19.0,No,36,45.5,No
2,F-03R,F SAL EE,A,NOR habituation,1,Bottom OF,Front,600.0,38,22.6,No,45,18.8,No,68,49.0,No
3,F-03G,F SAL EE,A,NOR habituation,1,Top OF,Back,600.0,27,23.7,No,35,27.2,No,35,43.1,No
4,F-03B,F SAL EE,A,NOR habituation,1,Bottom OF,Back,600.0,46,22.8,No,52,35.1,No,44,54.1,No
5,F-03RG,F SAL EE,A,NOR habituation,1,Top OF,Front,600.0,55,36.3,No,39,16.9,No,35,36.8,No
6,F-03RB,F SAL EE,A,NOR habituation,1,Bottom OF,Front,600.0,43,24.5,No,32,18.1,No,51,50.0,No
7,F-03GR,F SAL EE,A,NOR habituation,1,Top OF,Back,600.0,34,22.7,No,33,35.5,No,33,49.2,No
8,F-03BR,F SAL EE,A,NOR habituation,1,Bottom OF,Back,600.0,22,11.9,No,46,30.7,No,55,49.9,No
9,F-03RGR,F SAL EE,A,NOR habituation,1,Top OF,Front,600.0,46,45.0,No,26,64.9,No,33,49.9,No
10,F-03BRB,F SAL EE,A,NOR habituation,1,Bottom OF,Front,600.0,47,16.0,No,30,15.0,No,49,30.3,No
11,F-02B,F CVAD EE,B,NOR habituation,1,Top OF,Back,600.0,18,24.3,No,58,136.4,No,11,17.7,No
12,F-02RG,F CVAD EE,B,NOR habituation,1,Bottom OF,Back,600.0,26,14.2,No,34,31.4,No,46,47.3,No
13,F-02RB,F CVAD EE,B,NOR habituation,1,Top OF,Front,600.0,42,40.7,No,11,3.4,No,20,24.7,No
14,F-02GR,F CVAD EE,B,NOR habituation,1,Bottom OF,Front,600.0,31,49.7,No,12,11.3,No,34,94.9,No
15,F-02BR,F CVAD EE,B,NOR habituation,1,Top OF,Back,600.0,22,7.4,No,42,26.0,No,38,45.4,No
16,F-04BR,F CVAD EE,B,NOR habituation,1,Bottom OF,Back,600.0,18,10.1,No,42,39.0,No,50,59.9,No
17,F-04RGR,F CVAD EE,B,NOR habituation,1,Top OF,Front,600.0,44,47.9,No,19,11.8,No,41,119.3,No
18,M-02R,M SAL PE,C,NOR habituation,1,Bottom OF,Front,600.0,49,38.6,No,26,16.4,No,40,38.3,No
19,M-02G,M SAL PE,C,NOR habituation,1,Top OF,Back,600.0,16,8.0,No,36,33.5,No,25,24.8,No
20,M-02RG,M SAL PE,C,NOR habituation,1,Bottom OF,Front,600.0,50,39.9,No,24,10.9,No,47,47.5,No
21,M-02B,M SAL PE,C,NOR habituation,1,Top OF,Back,600.0,43,93.1,No,32,21.2,No,40,44.7,No
22,M-03G,M SAL PE,C,NOR habituation,1,Bottom OF,Back,600.0,28,20.4,No,40,44.6,No,38,46.0,No
23,M-03R,M SAL PE,C,NOR habituation,1,Top OF,Front,600.0,36,25.2,No,21,14.4,No,30,48.0,No
24,M-03RG,M SAL PE,C,NOR habituation,1,Bottom OF,Front,600.0,24,9.4,No,17,7.0,No,41,82.3,No
25,M-03B,M SAL PE,C,NOR habituation,1,Top OF,Back,600.0,25,15.2,No,35,38.7,No,40,52.5,No
26,M-03GR,M SAL PE,C,NOR habituation,1,Bottom OF,Back,600.0,27,10.8,No,55,30.6,No,25,28.0,No
27,M-03RB,M SAL PE,C,NOR habituation,1,Top OF,Front,600.0,28,13.7,No,28,14.8,No,63,69.1,No
28,M-01B,M CVAD PE,D,NOR habituation,1,Bottom OF,Front,600.0,27,24.2,No,18,38.4,No,38,187.7,No
29,M-01G,M CVAD PE,D,NOR habituation,1,Top OF,Back,600.0,34,16.9,No,16,18.3,No,47,79.5,No
30,M-04R,M CVAD PE,D,NOR habituation,1,Bottom OF,Front,600.0,16,23.6,No,9,4.6,No,8,55.1,No
31,F-01BR,F SAL EE,A,NOR training,1,Top OF,Front,300.0,20,24.5,No,30,35.3,No,19,19.3,No
32,F-03R,F SAL EE,A,NOR training,1,Bottom OF,Front,300.0,30,22.5,No,24,20.8,No,28,33.9,No
33,F-03G,F SAL EE,A,NOR training,1,Top OF,Back,300.0,31,43.2,No,37,48.4,No,13,16.5,No
34,F-03B,F SAL EE,A,NOR training,1,Bottom OF,Back,300.0,30,41.8,No,42,57.4,No,14,15.9,No
35,F-03RG,F SAL EE,A,NOR training,1,Top OF,Front,300.0,38,50.3,No,45,71.8,No,16,13.7,No
36,F-03RB,F SAL EE,A,NOR training,1,Bottom OF,Front,300.0,27,44.1,No,36,49.3,No,11,12.4,No
37,F-03GR,F SAL EE,A,NOR training,1,Top OF,Back,300.0,42,77.2,No,22,36.9,No,16,16.8,No
38,F-03BR,F SAL EE,A,NOR training,1,Bottom OF,Back,300.0,42,60.8,No,32,44.7,No,16,16.5,No
39,F-01BR,F SAL EE,A,NOR test,1,Top OF,Front,300.0,11,11.7,No,16,27.9,No,34,50.7,No
40,F-03R,F SAL EE,A,NOR test,1,Bottom OF,Front,300.0,16,9.1,No,13,16.4,No,42,82.3,No
41,F-03G,F SAL EE,A,NOR test,1,Top OF,Back,300.0,14,16.0,No,21,49.9,No,9,14.3,No
42,F-03B,F SAL EE,A,NOR test,1,Bottom OF,Back,300.0,17,30.4,No,31,44.0,No,17,53.3,No
43,F-03RG,F SAL EE,A,NOR test,1,Top OF,Front,300.0,23,46.4,No,24,60.5,No,9,11.9,No
44,F-03RB,F SAL EE,A,NOR test,1,Bottom OF,Front,300.0,19,23.3,No,18,34.3,No,27,71.6,No
45,F-03GR,F SAL EE,A,NOR test,1,Top OF,Back,300.0,25,38.4,No,19,27.1,No,28,29.5,No
46,F-03BR,F SAL EE,A,NOR test,1,Bottom OF,Back,300.0,29,34.9,No,22,30.4,No,21,23.0,No
47,F-03BRB,F SAL EE,A,NOR training,1,Bottom OF,Front,300.0,48,44.6,No,24,18.0,No,18,23.0,No
48,F-03RGR,F SAL EE,A,NOR training,1,Top OF,Front,300.0,17,34.2,No,29,57.0,No,24,32.6,No
49,F-02B,F CVAD EE,B,NOR training,1,Top OF,Back,300.0,28,38.3,No,37,70.7,No,10,4.9,No
50,F-02RG,F CVAD EE,B,NOR training,1,Bottom OF,Back,300.0,21,25.0,No,23,28.6,No,44,74.1,No
51,F-02RB,F CVAD EE,B,NOR training,1,Top OF,Front,300.0,37,49.6,No,18,26.1,No,16,14.6,No
52,F-02GR,F CVAD EE,B,NOR training,1,Bottom OF,Front,300.0,19,16.7,No,33,55.7,No,32,44.5,No
53,F-02BR,F CVAD EE,B,NOR training,1,Top OF,Back,300.0,15,24.1,No,12,14.2,No,16,20.4,No
54,F-04BR,F CVAD EE,B,NOR training,1,Bottom OF,Back,300.0,28,43.5,No,30,44.4,No,13,20.4,No
55,F-03RGR,F SAL EE,A,NOR test,1,Top OF,Front,300.0,20,29.6,No,13,17.4,No,25,43.0,No
56,F-03BRB,F SAL EE,A,NOR test,1,Bottom OF,Front,300.0,24,25.8,No,27,42.1,No,25,29.7,No
57,F-02B,F CVAD EE,B,NOR test,1,Top OF,Back,300.0,5,2.9,No,23,23.7,No,4,4.7,No
58,F-02RG,F CVAD EE,B,NOR test,1,Bottom OF,Back,300.0,14,13.5,No,19,41.9,No,40,44.9,No
59,F-02RB,F CVAD EE,B,NOR test,1,Top OF,Front,300.0,28,34.3,No,34,43.2,No,11,6.3,No
60,F-02GR,F CVAD EE,B,NOR test,1,Bottom OF,Front,300.0,34,52.0,No,10,16.1,No,39,57.1,No
61,F-02BR,F CVAD EE,B,NOR test,1,Top OF,Back,300.0,18,25.0,No,21,62.3,No,21,38.5,No
62,F-04BR,F CVAD EE,B,NOR test,1,Bottom OF,Back,300.0,22,59.7,No,13,27.8,No,13,12.4,No
63,F-04RGR,F CVAD EE,B,NOR training,1,Top OF,Front,300.0,23,21.9,No,8,31.6,No,11,34.5,No
64,M-02R,M SAL PE,C,NOR training,1,Bottom OF,Front,300.0,10,6.8,No,15,11.0,No,31,50.4,No
65,M-02G,M SAL PE,C,NOR training,1,Top OF,Back,300.0,11,12.9,No,24,28.2,No,11,33.1,No
66,M-02RG,M SAL PE,C,NOR training,1,Bottom OF,Front,300.0,14,17.0,No,26,32.8,No,21,27.8,No
67,M-02B,M SAL PE,C,NOR training,1,Top OF,Back,300.0,16,11.6,No,17,13.3,No,37,45.4,No
68,M-03G,M SAL PE,C,NOR training,1,Bottom OF,Back,300.0,18,13.3,No,8,6.3,No,21,59.2,No
69,M-03R,M SAL PE,C,NOR training,1,Top OF,Front,300.0,16,18.3,No,14,9.9,No,12,9.0,No
