Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Time of day,Distance (m),Mean speed (m/s),Periphery : entries,Periphery : time (s),Centre : entries,Centre : time (s),Centre : latency to first entry (s)
1,F-03R,F SAL EE,E,OF,1,Bottom OF,14/10/2024,pm,36.988,0.062,82,367.4,40,77.0,17.9
2,F-01BR,F SAL EE,E,OF,1,Top OF,14/10/2024,pm,48.478,0.081,82,448.1,35,30.9,5.2
3,F-03G,F SAL EE,E,OF,1,Top OF,14/10/2024,pm,62.957,0.105,156,425.8,40,23.5,4.6
4,F-03B,F SAL EE,E,OF,1,Bottom OF,14/10/2024,pm,62.787,0.105,120,385.5,54,53.4,7.8
5,F-03RG,F SAL EE,E,OF,1,Top OF,14/10/2024,pm,42.045,0.070,80,423.3,36,28.9,5.3
6,F-03RB,F SAL EE,E,OF,1,Bottom OF,14/10/2024,pm,59.481,0.099,115,372.1,48,50.1,0.0
7,F-03GR,F SAL EE,E,OF,1,Top OF,14/10/2024,pm,39.796,0.066,78,492.5,23,15.4,17.0
8,F-03BR,F SAL EE,E,OF,1,Bottom OF,14/10/2024,pm,58.237,0.097,110,420.2,45,50.6,16.9
9,F-03BRB,F SAL EE,E,OF,1,Bottom OF,14/10/2024,pm,70.761,0.118,124,420.7,53,45.9,7.5
10,F-03RGR,F SAL EE,E,OF,1,Top OF,14/10/2024,pm,27.133,0.045,83,485.0,14,19.3,3.1
11,F-02RG,F CVAD EE,H,OF,1,Top OF,14/10/2024,pm,43.080,0.072,90,417.4,33,28.7,1.3
12,F-02B,F CVAD EE,H,OF,1,Bottom OF,14/10/2024,pm,2.261,0.004,3,594.6,1,1.2,20.4
13,F-02GR,F CVAD EE,H,OF,1,Top OF,14/10/2024,pm,43.622,0.073,98,448.3,33,25.2,28.7
14,F-02RB,F CVAD EE,H,OF,1,Bottom OF,14/10/2024,pm,50.852,0.085,98,375.3,32,39.9,18.3
15,F-02BR,F CVAD EE,H,OF,1,Bottom OF,14/10/2024,pm,49.285,0.082,92,346.4,39,73.7,31.6
16,F-04BR,F CVAD EE,H,OF,1,Top OF,14/10/2024,pm,17.997,0.030,43,481.7,12,28.1,15.4
17,F-04RGR,F CVAD EE,H,OF,1,Bottom OF,14/10/2024,pm,24.052,0.040,33,547.9,6,6.9,145.3
18,M-02R,M SAL PE,C,OF,1,Top OF,14/10/2024,pm,42.892,0.071,73,453.7,23,37.0,105.8
19,M-02G,M SAL PE,C,OF,1,Bottom OF,14/10/2024,pm,29.497,0.049,79,338.5,22,61.3,28.3
20,M-02B,M SAL PE,C,OF,1,Top OF,14/10/2024,pm,33.230,0.055,73,414.1,26,36.9,14.7
21,M-03R,M SAL PE,C,OF,1,Top OF,14/10/2024,pm,27.305,0.046,86,415.9,21,33.0,9.4
22,M-02RG,M SAL PE,C,OF,1,Bottom OF,14/10/2024,pm,46.586,0.078,75,436.8,38,39.0,12.0
23,M-03B,M SAL PE,C,OF,1,Top OF,14/10/2024,pm,28.051,0.047,60,407.4,18,34.3,12.4
24,M-03G,M SAL PE,C,OF,1,Bottom OF,14/10/2024,pm,39.107,0.065,91,415.6,28,37.5,8.5
25,M-03RB,M SAL PE,C,OF,1,Top OF,14/10/2024,pm,48.038,0.080,91,459.4,22,18.8,55.8
26,M-03RG,M SAL PE,C,OF,1,Bottom OF,14/10/2024,pm,42.388,0.071,84,444.6,29,36.6,0.0
27,M-01G,M CVAD PE,A,OF,1,Top OF,14/10/2024,pm,15.954,0.027,51,485.7,5,5.5,0.8
28,M-03GR,M SAL PE,C,OF,1,Bottom OF,14/10/2024,pm,40.030,0.067,85,463.4,30,39.3,9.9
29,M-04R,M CVAD PE,A,OF,1,Top OF,14/10/2024,pm,15.177,0.025,15,565.8,4,4.7,65.7
30,M-01B,M CVAD PE,A,OF,1,Bottom OF,14/10/2024,pm,15.774,0.026,36,472.9,9,23.6,35.3
31,F-05RG,F SAL PE,F,OF,1,Top OF,04/11/2024,pm,27.506,0.046,41,517.4,14,16.4,115.7
32,F-05B,F SAL PE,F,OF,1,Bottom OF,04/11/2024,pm,47.757,0.080,101,378.3,45,50.6,18.3
33,F-06G,F SAL PE,F,OF,1,Top OF,04/11/2024,pm,52.283,0.087,109,447.4,32,27.6,33.5
34,F-05RB,F SAL PE,F,OF,1,Bottom OF,04/11/2024,pm,39.339,0.066,112,366.7,35,54.8,5.1
35,F-06RB,F SAL PE,F,OF,1,Top OF,04/11/2024,pm,47.062,0.078,96,438.0,26,22.6,2.1
36,F-06RG,F SAL PE,F,OF,1,Bottom OF,04/11/2024,pm,33.729,0.056,106,340.2,32,48.0,6.3
37,F-07R,F CVAD PE,D,OF,1,Top OF,04/11/2024,pm,36.787,0.061,74,484.8,15,22.2,4.1
38,F-06GR,F SAL PE,F,OF,1,Bottom OF,04/11/2024,pm,34.110,0.057,80,421.6,18,28.3,1.7
39,F-07RGR,F CVAD PE,D,OF,1,Top OF,04/11/2024,pm,8.478,0.014,6,589.5,2,1.2,586.8
40,F-07RG,F CVAD PE,D,OF,1,Bottom OF,04/11/2024,pm,14.313,0.024,17,573.7,4,6.6,19.1
41,F-07BRB,F CVAD PE,D,OF,1,Top OF,04/11/2024,pm,46.403,0.077,89,493.4,26,22.2,7.6
42,F-07RBR,F CVAD PE,D,OF,1,Bottom OF,04/11/2024,pm,29.416,0.049,44,478.3,12,28.5,25.5
43,F-08G,F CVAD PE,D,OF,1,Top OF,04/11/2024,pm,19.806,0.033,32,570.0,3,3.2,478.0
44,F-08R,F CVAD PE,D,OF,1,Bottom OF,04/11/2024,pm,34.306,0.057,64,495.0,17,18.5,14.2
45,F-8RG,F CVAD PE,D,OF,1,Top OF,04/11/2024,pm,30.653,0.051,31,562.5,4,4.5,280.2
46,F-08B,F CVAD PE,D,OF,1,Bottom OF,04/11/2024,pm,31.763,0.053,57,400.9,20,31.1,89.9
47,M-07RB,M SAL EE,B,OF,1,Top OF,04/11/2024,pm,48.634,0.081,65,508.8,20,18.4,14.3
