Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Time,Distance (m),S1 : time (s),E/S2 : time (s)
1,F-01BR,F SAL EE,C,HABITUATION,1,SPSN1,13:39,11.365,89.5,79.0
5,F-01BR,F SAL EE,C,S1,1,SPSN1,13:51,9.946,199.6,146.5
9,F-01BR,F SAL EE,C,S1-S2,1,SPSN1,14:03,12.583,172.3,172.5
27,F-02B,F CVAD EE,D,HABITUATION,1,SPSN3,15:02,9.204,72.4,117.0
28,F-02RG,F CVAD EE,D,HABITUATION,1,SPSN4,15:02,13.646,74.4,90.6
29,F-02RG,F CVAD EE,D,S1,1,SPSN4,15:08,13.551,243.5,174.0
30,F-02B,F CVAD EE,D,S1,1,SPSN3,15:08,11.370,275.7,79.0
35,F-02B,F CVAD EE,D,S1-S2,1,SPSN3,15:19,10.359,172.4,216.8
36,F-02RG,F CVAD EE,D,S1-S2,1,SPSN4,15:19,14.254,190.3,229.9
37,F-02RB,F CVAD EE,D,HABITUATION,1,SPSN1,15:41,12.663,103.6,78.1
38,F-02GR,F CVAD EE,D,HABITUATION,1,SPSN2,15:41,10.537,70.5,75.9
39,F-02BR,F CVAD EE,D,HABITUATION,1,SPSN3,15:41,10.193,107.9,117.2
40,F-04BR,F CVAD EE,D,HABITUATION,1,SPSN4,15:41,9.533,84.7,108.0
41,F-02RB,F CVAD EE,D,S1,1,SPSN1,15:47,17.210,251.3,123.6
42,F-02GR,F CVAD EE,D,S1,1,SPSN2,15:47,14.619,176.0,86.2
43,F-02BR,F CVAD EE,D,S1,1,SPSN3,15:47,17.261,233.2,167.8
44,F-04BR,F CVAD EE,D,S1,1,SPSN4,15:47,9.157,158.7,121.4
45,F-02RB,F CVAD EE,D,S1-S2,1,SPSN1,15:57,16.485,128.2,184.6
46,F-04BR,F CVAD EE,D,S1-S2,1,SPSN4,15:57,9.417,264.3,121.9
47,F-02GR,F CVAD EE,D,S1-S2,1,SPSN2,15:58,16.465,123.0,127.9
48,F-02BR,F CVAD EE,D,S1-S2,1,SPSN3,15:58,17.155,185.1,151.7
49,F-04RGR,F CVAD EE,D,HABITUATION,1,SPSN1,16:17,7.209,83.5,71.2
50,M-02R,M SAL PE,B,HABITUATION,1,SPSN2,16:17,10.622,93.6,110.7
51,M-02G,M SAL PE,B,HABITUATION,1,SPSN3,16:17,8.016,107.0,73.5
52,M-02B,M SAL PE,B,HABITUATION,1,SPSN4,16:17,10.912,129.4,83.8
53,F-04RGR,F CVAD EE,D,S1,1,SPSN1,16:23,9.886,231.6,126.4
54,M-02R,M SAL PE,B,S1,1,SPSN2,16:23,12.921,175.7,223.0
55,M-02G,M SAL PE,B,S1,1,SPSN3,16:23,6.846,359.7,91.9
56,M-02B,M SAL PE,B,S1,1,SPSN4,16:23,15.692,246.5,128.3
57,F-04RGR,F CVAD EE,D,S1-S2,1,SPSN1,16:34,8.271,206.5,226.6
58,M-02R,M SAL PE,B,S1-S2,1,SPSN2,16:34,8.887,86.4,268.2
59,M-02G,M SAL PE,B,S1-S2,1,SPSN3,16:34,6.803,295.3,159.7
60,M-02B,M SAL PE,B,S1-S2,1,SPSN4,16:34,10.641,196.3,200.5
61,M-02RG,M SAL PE,B,HABITUATION,1,SPSN1,16:55,10.157,114.7,82.3
62,M-03G,M SAL PE,B,HABITUATION,1,SPSN2,16:55,11.324,102.7,91.3
63,M-03R,M SAL PE,B,HABITUATION,1,SPSN3,16:55,8.165,77.4,98.8
64,M-03B,M SAL PE,B,HABITUATION,1,SPSN4,16:55,10.166,101.6,86.8
65,M-02RG,M SAL PE,B,S1,1,SPSN1,17:02,15.750,218.7,173.3
66,M-03G,M SAL PE,B,S1,1,SPSN2,17:02,17.310,215.1,151.8
67,M-03R,M SAL PE,B,S1,1,SPSN3,17:02,8.724,187.8,185.7
68,M-03B,M SAL PE,B,S1,1,SPSN4,17:02,11.544,211.9,182.6
69,M-02RG,M SAL PE,B,S1-S2,1,SPSN1,17:12,15.104,200.0,140.0
70,M-03G,M SAL PE,B,S1-S2,1,SPSN2,17:13,13.230,274.7,104.1
71,M-03R,M SAL PE,B,S1-S2,1,SPSN3,17:13,9.091,140.5,210.1
72,M-03B,M SAL PE,B,S1-S2,1,SPSN4,17:13,9.812,198.4,159.7
73,M-03RG,M SAL PE,B,HABITUATION,1,SPSN1,17:30,10.720,109.6,92.2
74,M-03RB,M SAL PE,B,HABITUATION,1,SPSN2,17:30,9.267,118.5,83.8
75,M-03GR,M SAL PE,B,HABITUATION,1,SPSN3,17:31,10.607,92.1,121.6
76,M-01G,M CVAD PE,A,HABITUATION,1,SPSN4,17:31,7.923,89.0,116.5
77,M-03RG,M SAL PE,B,S1,1,SPSN1,17:36,18.676,186.4,153.2
78,M-03RB,M SAL PE,B,S1,1,SPSN2,17:36,14.495,199.7,184.4
79,M-03GR,M SAL PE,B,S1,1,SPSN3,17:36,12.234,240.2,152.6
80,M-01G,M CVAD PE,A,S1,1,SPSN4,17:36,7.040,422.9,73.5
81,M-03RG,M SAL PE,B,S1-S2,1,SPSN1,17:47,15.485,123.3,194.5
82,M-03RB,M SAL PE,B,S1-S2,1,SPSN2,17:47,15.383,148.1,180.0
83,M-03GR,M SAL PE,B,S1-S2,1,SPSN3,17:47,10.259,185.9,201.3
84,M-01G,M CVAD PE,A,S1-S2,1,SPSN4,17:47,8.648,159.8,275.3
85,M-01B,M CVAD PE,A,HABITUATION,1,SPSN1,18:06,6.533,145.5,59.3
86,M-04R,M CVAD PE,A,HABITUATION,1,SPSN2,18:06,0.217,0.0,287.2
87,M-01B,M CVAD PE,A,S1,1,SPSN1,18:12,2.264,562.2,7.5
88,M-04R,M CVAD PE,A,S1,1,SPSN2,18:12,1.669,213.2,361.4
89,M-01B,M CVAD PE,A,S1-S2,1,SPSN1,18:22,6.036,371.7,176.0
90,M-04R,M CVAD PE,A,S1-S2,1,SPSN2,18:22,2.445,394.8,165.3
91,F-06B,F SAL PE,F,HABITUATION,1,SPSN2,14:57,11.052,64.8,103.6
92,F-05RB,F SAL PE,F,HABITUATION,1,SPSN1,14:57,9.698,93.7,91.7
93,F-05B,F SAL PE,F,HABITUATION,1,SPSN3,14:57,12.362,102.6,91.6
94,F-05RG,F SAL PE,F,HABITUATION,1,SPSN4,14:57,7.881,117.9,91.8
95,F-05RB,F SAL PE,F,S1,1,SPSN1,15:05,13.093,141.9,271.8
96,F-06B,F SAL PE,F,S1,1,SPSN2,15:05,10.783,97.8,352.4
97,F-05B,F SAL PE,F,S1,1,SPSN3,15:05,14.918,206.6,195.3
98,F-05RG,F SAL PE,F,S1,1,SPSN4,15:05,6.149,82.2,296.5
99,F-05B,F SAL PE,F,S1-S2,1,SPSN3,15:16,13.990,164.2,206.0
100,F-05RG,F SAL PE,F,S1-S2,1,SPSN4,15:16,5.468,136.3,137.5
101,F-06B,F SAL PE,F,S1-S2,1,SPSN2,15:17,8.449,136.2,287.8
102,F-05RB,F SAL PE,F,S1-S2,1,SPSN1,15:17,12.894,157.3,210.4
103,F-06GR,F SAL PE,F,HABITUATION,1,SPSN1,15:37,9.103,100.1,83.4
104,F-07R,F CVAD PE,H,HABITUATION,1,SPSN2,15:37,5.601,51.1,134.1
105,F-06RG,F SAL PE,F,HABITUATION,1,SPSN3,15:37,8.725,122.9,87.2
106,F-06RB,F SAL PE,F,HABITUATION,1,SPSN4,15:37,0.201,0.0,297.5
107,F-06RG,F SAL PE,F,S1,1,SPSN3,15:43,10.510,330.0,149.0
108,F-06RB,F SAL PE,F,S1,1,SPSN4,15:43,15.242,210.1,209.5
109,F-06GR,F SAL PE,F,S1,1,SPSN1,15:43,7.837,380.7,76.0
110,F-07R,F CVAD PE,H,S1,1,SPSN2,15:43,10.609,292.7,102.1
111,F-06RG,F SAL PE,F,S1-S2,1,SPSN3,15:54,9.793,148.8,340.6
112,F-06RB,F SAL PE,F,S1-S2,1,SPSN4,15:54,15.065,151.8,222.7
113,F-06GR,F SAL PE,F,S1-S2,1,SPSN1,15:54,7.733,165.6,278.3
114,F-07R,F CVAD PE,H,S1-S2,1,SPSN2,15:54,11.571,155.5,177.6
115,F-07RBR,F CVAD PE,H,HABITUATION,1,SPSN1,16:10,8.145,94.2,102.9
116,F-07BRB,F CVAD PE,H,HABITUATION,1,SPSN2,16:10,13.020,58.5,117.5
117,F-08R,F CVAD PE,H,HABITUATION,1,SPSN3,16:10,9.048,100.5,107.6
118,F-07RGR,F CVAD PE,H,HABITUATION,1,SPSN4,16:10,3.712,137.6,105.0
119,F-07BRB,F CVAD PE,H,S1,1,SPSN2,16:16,13.978,233.9,157.8
120,F-07RGR,F CVAD PE,H,S1,1,SPSN4,16:16,11.207,357.4,82.0
121,F-08R,F CVAD PE,H,S1,1,SPSN3,16:16,8.234,290.4,126.1
122,F-07RBR,F CVAD PE,H,S1,1,SPSN1,16:16,11.263,239.0,169.0
123,F-07RBR,F CVAD PE,H,S1-S2,1,SPSN1,16:27,11.388,152.0,245.2
124,F-07RGR,F CVAD PE,H,S1-S2,1,SPSN4,16:27,10.546,259.2,127.8
125,F-08R,F CVAD PE,H,S1-S2,1,SPSN3,16:27,6.470,169.5,159.0
126,F-07BRB,F CVAD PE,H,S1-S2,1,SPSN2,16:27,15.306,133.9,142.6
127,F-08B,F CVAD PE,H,HABITUATION,1,SPSN1,16:45,8.291,104.6,80.8
128,F-8RG,F CVAD PE,H,HABITUATION,1,SPSN2,16:45,0.056,3.3,0.0
129,F-08G,F CVAD PE,H,HABITUATION,1,SPSN4,16:46,0.000,0.0,5.1
130,F-08RB,F CVAD PE,H,HABITUATION,1,SPSN3,16:46,11.910,86.6,103.2
131,F-8RG,F CVAD PE,H,S1,1,SPSN2,16:52,9.726,338.9,106.7
