"mice_ID","sex","treatment","env"
"F-11.2_R","F","Sal","PE"
"F-11.2_G","F","Sal","PE"
"F-11.2_B","F","Sal","PE"
"F-11.2_RG","F","Sal","PE"
"F-11.2_RB","F","Sal","PE"
"F-11.3_R","F","Sal","PE"
"F-11.3_G","F","Sal","PE"
"F-11.3_B","F","Sal","PE"
"F-11.3_RG","F","Sal","PE"
"F-11.3_RB","F","Sal","PE"
"F-12_R","F","Sal","EE"
"F-12_G","F","Sal","EE"
"F-12_B","F","Sal","EE"
"F-12_RG","F","Sal","EE"
"F-12_RB","F","Sal","EE"
"F-12_GR","F","Sal","EE"
"F-12_BR","F","Sal","EE"
"F-13.2_R","F","CVAD","PE"
"F-13.2_G","F","CVAD","PE"
"F-13.2_B","F","CVAD","PE"
"F-13.2_RG","F","CVAD","PE"
"F-14_R","F","CVAD","EE"
"F-14_G","F","CVAD","EE"
"F-14_B","F","CVAD","EE"
"F-14_RG","F","CVAD","EE"
"M-13_R","M","Sal","PE"
"M-13_G","M","Sal","PE"
"M-14_R","M","Sal","EE"
"M-14_G","M","Sal","EE"
"M-14_B","M","Sal","EE"
"M-14_RG","M","Sal","EE"
"M-15.2_RB","M","CVAD","PE"
"M-16_R","M","CVAD","EE"
"M-16_G","M","CVAD","EE"
"M-16_B","M","CVAD","EE"
